,English Sentences,Hindi Sentences,Word Count (English),Word Count (Hindi),Difference between Word Count (English) and Word Count (Hindi)
5439,"Tarn Tara, November 17 ","गुहला चीका, 17 नवंबर ",23,21,2
5451,This is his ninth IPL half-century. ,ये उनका छठा आईपीएल शतक है। ,36,27,9
5454,"When the onions brown, add the tomatoes. ",प्याज सुन्हेरा हो जाने पर उस में टमाटर डाले. ,41,45,-4
5467,of India ,"""वह भारत ",9,9,0
5470,It is set to release in May this year. ,इसका उद्घाटन इस साल मई में किया गया था. ,39,40,-1
5471,He was shifted to SMHS Hospital for treatment. ,उसे इलाज के लिए एमबीएस अस्पताल में भर्ती करवाया। ,47,49,-2
5477,We will bring back our jobs. ,हम नौकरियों को वापस लेकर आएंगे। ,29,32,-3
5481,This government is... ,सरकार के इन . ,22,14,8
5496,We hope this trend continues. ,इस रुख के जारी रहने की उम्मीद है। ,30,34,-4
5499,Whats so exciting about this? ,इसमें इतनी हैरत की क्या बात है? ,30,32,-2
5505,Sharan Bansal ,शरण बंसल ,14,9,5
5513,It was amazing experience for me. ,मेरे लिये एक अनूठा अनुभव ,34,25,9
5514,"""The testing is currently underway. ",अभी इनकी टेस्टिंग चल रही है। ,36,29,7
5527,It is matte white in colour. ,यह सफेद रंग का होता है। ,29,24,5
5531,"""They lie dormant in the mind. ",वो ज़हन में बिखरी रहती हैं. ,31,28,3
5532,Bike rider killed in motorcycle-tanker collision ,ट्रैक्टर-ट्राली से टकराकर बाइक चालक की मौत ,49,43,6
5534,"""The doors were closed. ",बस के दरवाजे बंद थे। ,24,21,3
5538,SpiceJet posts profit of Rs 109 cr ,स्पाइसजेट को 109 करोड़ रु का लाभ ,35,32,3
5542,You can also take a printout. ,इसका प्रिंटआउट भी निकाला जा सकता है. ,30,37,-7
5551,Heres the film: ,यहां फिल्म … ,16,13,3
5552,Eating healthy is key. ,हेल्दी डाइट सबसे जरूरी बात है. ,23,31,-8
5555,And why not other parts of the body? ,शरीर के दूसरे भाग साथ क्यों नहीं हैं? ,37,38,-1
5556,Jeene Do ,जीने दो ,9,8,1
5560,Could not autodetect modem device ,मॉडेम युक्ति स्वतः खोज नहीं सका ,34,32,2
5563,"""The US has told... ",अमेरिका ने कहा है कि … ,20,23,-3
5567,Teenaged girl gangraped in Khandwa ,कल्याण में नाबालिक लड़की से गैंग रेप ,35,37,-2
5568,You mean? ,आपका मतलब? ,10,11,-1
5569,This was 1985. ,यह 1985 की बात है. ,15,19,-4
5573,offer of appointment ,नियुक्ति प्रस्ताव ,21,18,3
5577,So far 25 people are arrested in this case. ,मामले में 25 लोगों की गिरफ्तारी हुई हैं। ,44,41,3
5579,Suddenly they can see! ,अचानक वे देख सकते हैं! ,23,23,0
5586,However in the afternoon the weather improved. ,हालांकि दोपहर बाद उनकी स्थिति और बेहतर हो गई थी। ,47,49,-2
5601,We are hopeful by then things will ease out. ,हमें उम्मीद है कि तब तक चीजें सुलझ जाएंगी. ,45,43,2
5608,Appealing? Hardly. ,बिलकुल नहीं । ,19,14,5
5611,People need not worry. ,लोग किसी तरह की चिंता न करें। ,23,30,-7
5615,It is their call. ,ये उन्हीं की पुकार है. ,18,23,-5
5616,Growth in urban population ,तेजी से बढ़ रही शहरी आबादी ,27,27,0
5621,GDP growth rate has slumped. ,जीडीपी की दर कम हो गई है। ,29,26,3
5628,"""They had been forgotten. ",उन्हें याद आ गया। ,26,18,8
5634,Follow the directions. ,उस गाइडलाइंस को फॉलों करें। ,23,28,-5
5635,Commuters stuck in hour-long traffic jam ,9 घंटे तक जाम से कराह उठा ट्रैफिक ,41,34,7
5637,"""The truck driver fled from the spot. ",ट्रक ड्राइवर मौके से फरार हो गया। ,38,34,4
5640,"""There are no signs of it taking off. ",इसके थमने का कोई संकेत नहीं दिखाई देता. ,38,40,-2
5649,ISI is also active in Turkey nowadays. ,आईएसआई आजकल तुर्की में भी सक्रिय है। ,39,37,2
5651,domestic violence ,घरेलू हिंसा की जड़ ,18,19,-1
5652,Stabbed with knife ,कैंची से वार ,19,13,6
5656,KEEP THE AREAS CLEAN. ,क्षेत्रों को स्वच्छ रखें। ,22,26,-4
5658,8 teachers found absent ,8 लेक्चरर मिले नदारद ,24,21,3
5660,It has got no reason to it. ,"""वह इसके लिए कारण नहीं हैं। ",28,28,0
5661,Foreign Banks ,विदेशी बैंकों ,14,14,0
5678,I thought puppies shredded everything. ,मुझे लगा पपियों ने सब कुछ कुतर दिया होगा। ,39,42,-3
5679,Tape Drive Options ,टेप ड्राइव विकल्प ,19,18,1
5685,Man kept wife prisoner at home for 50 years ,पति ने पत्नी को 50 साल तक बंदी बनाए रखा ,44,40,4
5686,Government is functioning as per law. ,आखिर सरकार संविधान के अनुसार काम कर रही है. ,38,44,-6
5692,"Guidelines, in this regard, would be formulated. ",इस संबंध में दिशा-निर्देश बनाए जाएंगे। ,49,39,10
5697,Police is investigating the whole matter. ,पुलिस सारे मुद्दे की छानबीन कर रही है. ,42,39,3
5701,My dad and I-- have a terrible relationship. ,मेरे पिताजी और मैं - एक भयानक रिश्ता है. ,45,41,4
5708,"""The incident took place on Sunday afternoon. ",घटना रविवार देर सायं की बताई गई है। ,46,36,10
5724,"Subsequently, a police team arrived at the spot. ",जिसके बाद भारी संख्या में पुलिस बल पहुंच गया। ,49,46,3
5731,"Besides, the new ",इसके अलावा नए हवाई ,17,19,-2
5732,Stiff upper lip! ,तना हुआ ऊपरी होंठ! ,17,19,-2
5735,Tiger Shroff - Jackie Shroff ,जैकी श्रॉफ-टाइगर श्रॉफ ,29,23,6
5758,I do lots of things. ,मैं कई चीजें कर रहा हूं। ,21,25,-4
5759,"Yes, I heard about it. ","हाँ, मैं इसके बारे में सुना. ",23,29,-6
5762,"But they are not out, yet. ",मगर अभी खुलकर सामने नहीं आ रहे है। ,27,35,-8
5787,forced sale ,जबरन बिक्री ,12,12,0
5797,This is an issue of national pride. ,यह राष्ट्रीय शर्म का मुद्दा है. ,36,32,4
5799,Most of them are foreign nationals. ,इनमें ज्यादातर विदेश से आए लोग होते हैं. ,36,41,-5
5808,"However, it was not maintained afterwards. ",हालांकि बाद में उसका निर्माण नहीं किया गया. ,43,44,-1
5810,And then it happened ,और फिर यह हुआ ,21,14,7
5811,You will consider starting a new work. ,नया काम शुरू करने के विषय में सोचेंगे। ,39,39,0
5813,"""The new facility has 100 beds. ",नए भवन में 100 बिस्तरों का प्रावधान होगा। ,32,42,-10
5817,Youth held for killing father ,छात्र की हत्या में एक युवक गिरफ्तार ,30,36,-6
5823,VAT varies from state to state. ,वैट राज्यों के अनुसार अलग-अलग होता है। ,32,39,-7
5825,"""The streak continues for India ",भारत के लिए कड़ा इम्तिहान ,32,26,6
5827,every freaking body! ,हर अंग बेडौल ! ,21,15,6
5828,How did that help? ,इससे उन्हें क्या मदद मिली? ,19,27,-8
5832,Preparations begin months in advance. ,इसकी तैयारी महीनों चलती है. ,38,28,10
5839,Politics is dominating life. ,राजनीति जीवन पर हावी हो गयी है. ,29,32,-3
5841,Concrete steps are needed in this direction. ,इस दिशा में ठोस पहल किये जाने की आवश्यकता है. ,45,46,-1
5844,Police personnel have been deployed there. ,जिस पर पुलिस कर्मचारी तैनात रहते हैं। ,43,38,5
5847,"But, they do not answer the question. ",लेकिन वे उस सवाल का जवाब तो दे नहीं रही हैं। ,38,45,-7
5850,A barrel equals 159 litres. ,एक बैरल यानी 159 लीटर। ,28,23,5
5851,It isnt a permanent solution. ,यह स्थाई समाधान नहीं है। ,30,25,5
5858,"""The policemen had already been suspended. ",पुलिसकर्मियों को पहले ही सस्पेंड किया जा चुका है. ,43,50,-7
5860,Group Layer ,परत कतरें ,12,10,2
5867,She could not even walk to the toilet. ,चलकर शौच करने भी नहीं जा पा रहा था। ,39,36,3
5886,Now who will feed them? ,फिर उनसे शादी कौन करेगा? ,24,25,-1
5887,It will be a competitive series. ,यह सीरीज प्रतिस्पर्धी होने वाली है। ,33,36,-3
5889,Custom Color ,अनुकूलित रंग (C) ,13,17,-4
5892,You can plan to hang out with children. ,बच्चों के साथ बाहर घूमने का प्लान बना सकते हैं। ,40,48,-8
5908,We have culture. ,अपनी संस्कृति है. ,17,18,-1
5913,She is Mother India. ,भारत माता हैं। ,21,15,6
5914,"""Their allegation is irrelevant. ",उनके दावे मायने नहीं रखते। ,33,27,6
5915,I just need to know she's alive. ,मैं तो बस वह जिंदा है पता करने की जरूरत। ,33,41,-8
5916,Have you been you one of them? ,क्या आप भी उनमें से एक थे…. ,31,28,3
5919,Crude oil rises ahead of OPEC meet ,ओपेक बैठक से पहले कच्चे तेल में तेजी ,35,37,-2
5921,"""The event was held on April 7. ",7 अप्रैल को इस शो की शुरुआत होगी। ,32,34,-2
5928,But the government was paying for them. ,लेकिन सरकार की उनसे मिली-भगत थी. ,40,33,7
5932,"""They abused me. ",उन्होंने मुझसे बदतमीजी की. ,17,27,-10
5941,Yet I worked for the party. ,तब भी पार्टी के लिए ही काम कर रहा था। ,28,38,-10
5950,"So, be mindful of them. ",इसलिये उनसे होशियार रहियेगा. ,24,29,-5
5957,Pakistan should understand this. ,यह पाक को भी समझना चाहिए। ,33,26,7
5963,This will open up new avenues for you. ,इससे आपको अपने लिए नई संभावनाएं नजर आएंगी। ,39,43,-4
5973,People were enjoying it. ,लोगों ने लिए खूब मज़े। ,25,23,2
5975,cell that they need to turn into. ,"सेल, कि वे में बारी करने की आवश्यकता। ",34,38,-4
5985,Action against people who violated the rules ,नियमों का पालन न करने वालों पर कार्रवाई ,45,40,5
5987,This news is completely false. ,ये खबर पूरी तरह से सच है। ,31,26,5
5988,Salman Khan at Sohail Khans birthday party. ,सोहेल के बर्थडे पर सलमान ने एक पार्टी दी थी। ,44,45,-1
5994,File Photo | Diptendu Dutta/AFP ,फाइल फोटो | संजीव दत्ता/ एएफपी ,32,31,1
6004,What was the reaction to your decision? ,निर्णय पर क्या प्रतिक्रियाएं रहीं? ,40,35,5
6007,Hence the confusion persists. ,इसीलिए भ्रम की स्थिति बनी रहती है। ,30,35,-5
6015,FIB(26) returns 121393 ,FIB( 26) का परिणाम होगा 121393 ,23,31,-8
6017,List of compatible devices for iOS 14 upgrade ,इन स्मार्टफोन में मिलेगा iOS 14 अपडेट ,46,38,8
6018,Create graphics and charts ,ग्राफ़िक्स तथा चार्ट बनाएँName ,27,31,-4
6021,Unexpected response from IMAP server:% s ,IMAP सर्वर से अप्रत्याशित अनुक्रियाः% s ,41,40,1
6032,"New Delhi, March 4 ","नयी दिल्ली, 4 मार्च (भाषा)। ",19,28,-9
6040,Number 3: Learn the Art of Food Preservation ,तीसरा: खाद्य परिरक्षण की कला सीखिए ,45,35,10
6049,Happiness will remain in the family. ,परिवार में आनंद छाया रहेगा। ,37,28,9
6055,Al-Baghdadi 'seriously wounded in air strike' ,आतंकी सरगना अल बगदादी हवाई हमले में घायल ,46,41,5
6056,India re-elected to key UN committee ,UN आयोग में भारत फिर से चुना गया ,37,33,4
6057,Travel Advisory for Indian nationals ,भारतीय या‌त्रियों को दी गई सलाह ,37,32,5
6058,He knew he had done the right thing. ,"""वह जानता था कि जो कुछ उसने किया वह ठीक ही था। ",37,47,-10
6065,"""There was an argument between the two. ",इस बीच दोनों की आपस में बहस हो गई। ,40,35,5
6067,He also had a strong Mumbai connection. ,मुंबई से ही उनका भी ताल्लुक़ था. ,40,33,7
6069,"""The heart is a muscle. ",हृदय मांसपेशी है। ,24,18,6
6070,Find out what is the reason behind this. ,जानिए इसके पीछे का क्या है कारण। ,41,33,8
6071,that acts as a digital eye. ,जो एक डिजिट्ल आँख का काम करता है। ,28,34,-6
6074,"If you still havent watched these, you must! ",अगर हां तो ये वीडियो आपको जरूर देखना चाहिए। ,45,44,1
6078,He is instrumental in my success. ,मेरी सफलता में इसका बड़ा योगदान है। ,34,36,-2
6082,Take a look how. ,देखिए कैसे. ,17,12,5
6085,Young woman steers Chennai's first Metro train ,चेन्नई में महिला ने चलाई पहली मेट्रो ट्रेन ,47,43,4
6088,One CRPF jawan was also killed in the encounter. ,मुठभेड़ में एक सीआरपीएफ का जवान भी शहीद हो गया। ,49,48,1
6091,India was not part of that group. ,भारत इसमें शामिल नहीं हुआ था। ,34,30,4
6095,I am not even Muslim. ,मैं मुस्‍लिम नहीं फिर भी . ,22,27,-5
6098,We have landlocked states. ,हमारे यहां landlocked स्‍टेट्स हैं। ,27,36,-9
6101,Several other homes were damaged. ,"""वहीं कई अन्य घर बरबाद हो गए हैं। ",34,34,0
6103,"Kobani (Syria), January 28 ","सोनीपत, 28 जनवरी (हप्र) ",27,24,3
6108,You will get good news related to children. ,बच्चों से जुड़ी कोई खुशखबरी आपको मिलेगी। ,44,41,3
6110,"After that, his phone was switched off ",इसके बाद उनके फोन की घंटी बजी ,39,30,9
6114,This is caused by heat and other problems. ,यह गर्मी और अन्य समस्याओं के कारण होता है। ,43,43,0
6115,Avoid making hasty business decisions. ,व्यवसायिक फैसले लेने से बचें। ,39,30,9
6117,How is lightning formed? ,ज्वालामुखी कैसे बनता है? ,25,25,0
6123,Public dealing hours per working day ,सार्वजनिक मेल जोल प्रति कार्य दिवस घण्टे ,37,41,-4
6134,"I think the process I described, ","मेरे ख्याल से जो पद्धति मैनें बताई है, ",33,39,-6
6136,Moses too was modest and humble. ,"नम्रता की एक और मिसाल है, मूसा । ",33,33,0
6140,IPL 10 marks the end of a cycle. ,आईपीएल 10 का रोमांच अपने चरम पर है। ,33,36,-3
6144,He had a desire to see India free. ,वो हर हाल में भारत को आजाद देखना चाहती थीं. ,35,44,-9
6146,He couldnt make out what it was saying. ,"""वह पढ़ नहीं सकी कि उसमें क्‍या लिखा था। ",40,41,-1
6158,Judges role ,जजों की भूमिका डा. ,12,19,-7
6160,"""Then I understood. ",तब मुझे इसका एहसास हुआ। ,20,24,-4
6166,Parliamentary democracy ,संसदीय लोकतंत्र अंग्रेजों का ,24,29,-5
6171,"""The default Kopete chat window ",डिफ़ॉल्ट के- ऑप्टी गपशप विंडोName ,32,34,-2
6174,I am very excited by this new challenge. ,मैं इस नई चुनौती के लिए उत्साहित हूं। ,41,38,3
6179,basic wages ,आधारिक मज़दूरी ,12,15,-3
6186,"Los Angeles, January 7 ","लंदन, 7 जनवरी (एजेंसी) ",23,23,0
6190,Modi agreed ,मोदी हुए सानंद ,12,15,-3
6199,"360360dpi, high resolution paper ","360×360डीपीआई, उत्तम रेजोल्यूशन कागज ",33,37,-4
6205,Two persons have been rescued. ,दो लोगों की जान भी गई है। ,31,26,5
6210,"So, whatever there all put together. ","तो, जो कुछ भी एक साथ रखा जाता है। ",37,34,3
6211,Where is that money coming from? ,वैसे यह धन आता कहां से है? ,33,27,6
6213,"Hence, such situations should be avoided. ",इसलिए हमें ऐसी स्थिति को आने से रोकना होगा. ,42,44,-2
6222,About 100 doctors attended the programme. ,इसमें करीब 100 डाक्टरों ने भाग लिया। ,42,37,5
6223,It purifies the blood. ,इससे खून साफ होता है। ,23,22,1
6225,I am ready to cooperate. ,मैं सहयोग करने के लिए तैयार हूं। ,25,33,-8
6229,BJP to launch jehad against corruption ,"भेदभाव, भ्रष्टाचार के खात्मे को भाजपा वचनबद्ध ",39,46,-7
6231,"""""""We are condemning all such incidents."" ",‘हम ऐसी घटनाओं की पूरी तरह से निंदा करते हैं. ,42,46,-4
6232,Most of them have become global conglomerates ,उनमें से ज्यादातर कंपनियां वैश्विक दिग्गज बन गईं। ,46,50,-4
6233,"He said, It is an excellent move. ","""उन्होंने कहा, """"यह एक उत्कृष्ट कदम है।"" ",34,41,-7
6238,This period will be good for your children. ,यह समय आपकी सन्तान के लिए भी फेवरेबल रहेगा। ,44,44,0
6258,Education has a big importance in life. ,जीवन में शिक्षा ही सर्वोपरि है। ,40,32,8
6263,"""The government should think about this. ",सरकार को यह बात भी दिमाग में रखनी चाहिए। ,41,41,0
6265,From where did the kur come? ,कहां से आती है कुरजां ,29,22,7
6271,Developing countries ,विकसित देशों ने तो ,21,19,2
6275,PM Modis social media popularity ,पीएम मोदी की लोकप्रियता में इजाफा ,33,34,-1
6277,Enduring Memories ,यादें अटल की ,18,13,5
6283,Chauvinism takes many forms: ,संकीर्ण मानसिकता के अनेक रूप हैं: ,29,34,-5
6289,Who r the culprits? ,कौन अपराधी हैं? ,20,16,4
6300,"PS- SHAMBHUGANJ, DIS- BANKA ","पीएस- शंभुगंज, डीआईएस- बंका ",28,28,0
6303,What to take care of ,किन बातों का ख्याल रखें ,21,24,-3
6305,genus Lotus ,इंदंबर ,12,7,5
6310,Clovers can have more than four leaves. ,पॉलिप्लॉइड में चार से अधिक कुलक भी हो सकते हैं। ,40,48,-8
6311,His life story is unbelievable. ,उनकी जिंदगी की कहानी अविश्वसनीय है। ,32,36,-4
6316,Education of women is encouraged. ,महिलाओं में शिक्षा को बढ़ावा देना है. ,34,38,-4
6325,"Yet, the issue fails to be resolved. ",बावजूद इस समस्या का समाधान नहीं हो पा रहा है। ,37,46,-9
6333,"""The high court acquitted all the accused. ",हाईकोर्ट ने सभी आरोपियों को रिहा कर दिया था। ,43,45,-2
6335,If you want purchase this smartphone? ,क्या आपको ये स्मार्टफोन खरीदना चाहिए? ,38,38,0
6336,We are men. We're going to mess up. ,हम पुरुष हैं। हम गड़बड़ तो करेंगे। ,36,35,1
6346,You Must Not Forget Jehovah ,यहोवा को कभी मत भूलिए ,28,22,6
6347,This is her first visit to India. ,यह उसका भारत में पहला सम्मेलन है। ,34,34,0
6353,lese majesty ,देशद्रोह ,13,9,4
6355,But that strategy has its limits. ,लेकिन इस रणनीति की भी अपनी सीमा है। ,34,36,-2
6362,I opened the door. ,मैंने दरवाज़ा खोला। ,19,20,-1
6364,He is truly among Our faithful devotees. ,बेशक वह हमारे (ख़ालिस) ईमानदार बन्दों में थे ,41,45,-4
6366,No action taken ,नहीं लिया गया कोई एक्शन ,16,24,-8
6370,She is paired with Sidharth Malhotra in the film. ,फिल्म में उनके साथ सिद्धार्थ मल्होत्रा भी हैं। ,50,47,3
6372,Each bus will accommodate at least 60 passengers. ,प्रत्येक दल में अधिकतम 60 यात्री होंगे। ,50,40,10
6373,I remembered that one of my aunts was a Witness. ,मैंने उससे पूछा कि यह कौन - सा चर्च है । ,49,41,8
6382,Upanishads- lie in these 4 parts. ,उपनिषद् इन चार भागों में है। ,34,29,5
6383,"""The areas of economic cooperation are: - ",आर्थिक सहयोग के क्षेत्र इस प्रकार हैं:- ,42,40,2
6385,"""The police was investigating. ",पुलिस तफ्तीश कर रही है। ,31,24,7
6388,Symptoms that may be present include: ,सामान्यतः दिखाई देने वाले लक्षण निम्नलिखित हैंः ,38,48,-10
6390,He urged all to contribute their best for this. ,उन्होंने कहा कि इसमें सभी लोग अपना सहयोग दें। ,48,46,2
6392,Yes and no. ,नहीं । ,12,7,5
6399,Happy Fathers Day to all. ,हैप्पी फादर्स डे आप सभी को डैडी। ,26,33,-7
6400,It can be a matter of debate. ,यह एक बहस का विषय हो सकता है। ,30,30,0
6410,"""They should get relief. ",उन्हें राहत मिलनी चाहिए। ,25,25,0
6412,100 per cent results ,परिणाम 100 प्रतिशत है। ,21,23,-2
6417,Congress comes under attack ,कांग्रेस हुई हमलावर ,28,20,8
6433,China has already progressed some way on this. ,इस दिशा में चीन ने उत्तरोतर कदम बढ़ाए हैं। ,47,43,4
6452,FREQUENCY (Range data. Range bins) ,FREQUENCY (सीमा डाटा. सीमा बिन्स) ,35,34,1
6454,Driver killed as tractor crashes into tent ,"ट्रक ने ट्रैक्टर टेलर में मारी ठोकर, चालक की मौत ",43,49,-6
6455,He seems to be in touch with extremists. ,"""वह अतिवदी लोगों के सम्पर्क में लगता है। ",41,41,0
6466,"""The two become friends. ","""वह दोनों दोस्त बन जाते हैं। ",25,29,-4
6467,Additional police forces have been deployed. ,अतिरिक्त सैन्य बल तैनात किए जा चुके हैं। ,45,41,4
6476,But we will always be good parents. ,लेकिन हम हमेशा अच्छे माता पिता रहेंगे. ,36,39,-3
6479,Squads of India and Australia ,भारत और ऑस्ट्रेलिया की टीमें ,30,29,1
6481,Show items that contain: ,मद दिखाएँ जो शामिल हैः (w) ,25,27,-2
6482,It completely worked. ,यह पूरी तरह काम कर गया। ,22,24,-2
6491,Do read it. ,वो आप पढ़िए. ,12,12,0
6494,"""The first match will be played in Mumbai. ",सीरीज का पहला मैच मुंबई में खेला जायेगा। ,43,41,2
6498,I am ready to sacrifice anything for it. ,मैं किसी भी तरह के बलिदान के लिए तैयार हूं। ,41,44,-3
6505,26-year-old hangs himself to death ,34 वर्षीय युवक की ईंट मारकर ली जान ,35,35,0
6507,Dont take social media so seriously ,'सोशल मीडिया को गंभीरता से लेने का मतलब नहीं' ,36,46,-10
6512,"""The writer is a columnist. ",लेखक स्तंभकार हैं। ,28,19,9
6517,"""The man shouted for all to hear. ","""वह आदमी सबको सुनाने के लिए चिल्लाया । ",34,39,-5
6527,Lessons from the Chennai floods ,चेन्नई की बाढ़ से सबक लेना जरूरी ,32,33,-1
6528,In the words of the great Howard Jones... ,महान हावर्ड जोन्स के शब्दों में... ,42,35,7
6531,Access time ,अभिगम समय/अवधि ,12,15,-3
6532,He then got up and left the room. ,फिर उठकर भीतर कक्ष में चले गए। ,34,31,3
6533,An FIR has been filed against seven persons. ,सात लोगों के खिलाफ एफआईआर दर्ज की गई है। ,45,41,4
6534,How is it different this time? ,इस समय स्थिति कैसे अलग है? ,31,27,4
6535,Outside of home ,घर से बाहर ,16,11,5
6545,"so let it be there, first thing. ","अतः इसे रहने दो, पहली बात। ",33,27,6
6546,This is putrid corruption. ,ये इंतिहा है भ्रष्टाचार की। ,27,28,-1
6548,Fit India. ,फिट इंडिया ” ,11,13,-2
6555,Greek Dark Ages ,यूनानी अंधकार काल ,16,18,-2
6556,We are waiting for more details. ,हम और विवरण का इंतजार कर रहे हैं। ,33,34,-1
6582,"""The villagers informed the police ",ग्रामीणों ने पुलिस को सूचना देने के . ,35,38,-3
6597,This is my wish. ,ये मेरी मर्जी है. ,17,18,-1
6601,For now. ,अभी के लिए -. ,9,14,-5
6602,"""There are two kinds of waste. ",कचरा दो प्रकार का होता है। ,31,27,4
6610,I dont know why they remained silent. ,पर पता नहीं क्यों वो भी चुप हैं…. ,38,34,4
6611,He later became a legislator. ,इसके बाद विधायक भी बने. ,30,24,6
6616,Let the facts speak for themselves. ,पिछले दस सालों की ही बात लीजिए । ,36,33,3
6621,"Sultanpur Lodhi, September 3 ","सोनीपत, 3 सितंबर (हप्र) ",29,24,5
6622,I dont have the time. ,समय भी नहीं है मेरे पास. ,22,25,-3
6625,But the problem has not been solved. ,लेकिन समस्या का समाधान नहीं किया गया है। ,37,41,-4
6626,Financial Times printed this picture ,"फ़िनान्शियल टाइम्स ने इस तस्वीर को छापा था, ",37,44,-7
6638,Many of them fled. ,उनमें से कई फरार हैं. ,19,22,-3
6642,Students should work hard. ,छात्रों को मेहनत करनी होगी. ,27,28,-1
6643,I am pretty certain. ,मैं काफी संतुष्ट हूं। ,21,22,-1
6646,How do you see this action? ,इस जर्नी को कैसे देखती हैं? ,28,28,0
6648,This investigation is ongoing. ,इसके लिए छापेमारी की जा रही है। ,31,32,-1
6651,"I would say to myself, ","मैं खुद से पूछने लगता हूँ, ",23,27,-4
6653,Her oxygen saturation level was low. ,ऑक्सीजन सैचूरेशन लेवल काफी कम था. ,37,34,3
6654,Responsibility of teachers ,शिक्षक की जिम्मेदारी ,27,21,6
6657,After all who is to be blamed for this ? ,आखिर इस सबके लिए किसे ज़िम्मेदार माना जाए? ,41,43,-2
6661,"If its war that is required, then so be it. ",अगर इसके लिए युद्ध की जरूरत है तो वही सही। ,44,43,1
6663,Excellent remedy for cough and cold. ,सर्दी-जुकाम और कफ के लिए भाप रामबाण उपाय है। ,37,45,-8
6669,So how has Delhi fared? ,फिर दिल्ली कैसे बची रहती. ,24,26,-2
6676,"Last year, the number was at 9.27 lakh. ",पिछले साल यह संख्या 9.27 लाख थी। ,40,33,7
6677,"""They should be paying attention. ",उन्हें सावधानी बरतनी होगी। ,34,27,7
6680,"""The girl died in the incident. ",घटना में बच्ची की मौत हो गई थी. ,32,32,0
6681,He has no experience. ,कोई अनुभव नहीं था. ,22,19,3
6683,later on he joined the Samajwadi Party (SP). ,बाद में वे समाजवादी पार्टी में शामिल हो गये. ,45,45,0
6684,"1 small onion, finely chopped ","1 छोटा आलू, बारीक कटा हुआ ",30,26,4
6691,Tom broke both of his legs. ,टॉम ने उसकी दोनों टांगे तोड़ दी। ,28,33,-5
6692,Apply on the face and wash after it dries. ,इसे चेहरे पर लगाएं और सूखने के बाद धो लें। ,43,43,0
6694,"We are all one, in that sense. ",एक तरह से हम एक ही हैं। ,31,24,7
6698,He spoke to me very nicely. ,उसने मुझसे बहुत प्यार से बात की। ,28,33,-5
6701,"""The writer is director, My Financial Advisor ",लेखक माई फाइनैंशियल एडवाइजर के निदेशक हैं। ,46,43,3
6717,Valentines Day is gearing near. ,वेलेंटाइन डे करीब आ गया है। ,32,28,4
6719,This is just the start. ,यह तो अभी शुरुआत है। ,24,21,3
6721,adjudication of notes ,नोटों का न्यायनिर्णयन ,22,22,0
6725,Gods Love Manifest in a Mothers Love ,परमेश्‍वर का प्यार माँ के प्यार से झलकता है ,37,44,-7
6731,listening to all... ,सब की बात सुने. ,20,16,4
6734,"Mandi Ahmedgarh, Nov 8 ","महेन्द्रगढ़, 8 नवंबर (निस) ",23,26,-3
6735,Consequently problems were faced. ,जिससे समस्याओं का सामना करना पड़े। ,34,35,-1
6741,Anything happened to any of them? ,क्या उनमें से किसी में कुछ निकला? ,34,34,0
6743,"""The HC had also initiated a CBI inquiry. ",कोर्ट ने सीबीआई की भी खिंचाई की। ,42,33,9
6744,Compilation of Bachan's great poetry . ,बच्चन के श्रेष्ठ कविताओं का संकलऩ ,39,34,5
6752,This was Simon's second marriage. ,मिलिंद सोमन की यह दूसरी शादी है। ,34,33,1
6755,All photos by author ,सभी फोटो: लेखक ,21,15,6
6759,"""The Manisana Wage Board ",मनिसाना वेज बोर्ड ,25,18,7
6761,Try and avoid alcohol and smoking. ,कोशिश करें कि स्मोकिंग और शराब न पीएं। ,35,39,-4
6770,Fans are stunned looking at it. ,ये देख कर फैंस में मायूसी छा गई हैं। ,32,37,-5
6775,"Last date to apply: February 11, 2020 ","फीस भरने की अंतिम तिथि : 19 नवंबर, 2020 ",38,40,-2
6777,"""There was never a disagreement between the two. ",दोनों के बीच मनमुटाव वाली कोई बात नहीं थी। ,49,43,6
6784,Priyanka Chopra was the female lead in the movie. ,इस फिल्म में कंगना के अपोजिट प्रियंका चोपड़ा थीं। ,50,50,0
6788,But still they have not been released. ,हालांकि उन्‍हें अभी बाहर नहीं किया गया है. ,39,43,-4
6796,"""The total amount is close to Rs 200 crore. ",उसके लिए कुल आबंटन लगभग 250 करोड़ रुपये ही है। ,44,47,-3
6815,Its rather odd but true. ,"थोड़ा अजीब है, लेकिन सच है। ",25,28,-3
6818,Its the greatest prize. ,यह सबसे बड़ा सरप्राइज है। ,24,26,-2
6833,I went into the restaurant. ,मैं रेस्टोरेंट की ओर भागा। ,28,27,1
6835,"After that, the case has taken new turn. ",इसके बाद इस मामले ने यू टर्न ले लिया. ,41,38,3
6841,Where in Austria did you grow up? ,ऑस्ट्रिया में तुम कहां बड़े हुए? ,34,33,1
6843,Hinduism is not a static religion. ,हिन्दुत्व कोई अनुशासित धर्म नहीं है। ,35,37,-2
6857,He pointed his finger to the head. ,उन्होंने सिर पर हाथ फेरा। ,35,26,9
6862,2000 crore shelf limit. ,होगी 2000 रुपये की लिमिट ,24,25,-1
6868,He acted very brilliantly in this film. ,इस फिल्म में इन्होंने दमदार अभिनय किया था! ,40,43,-3
6871,Married life will be pleasant. ,वैवाहिक जीवन सुखकर होगा। ,31,25,6
